Name,Total
Schulz,200
Lucio,17676
Paranhos,2356
Bacelar,1853
Bernardino,12576
Mendonça,30474
da Aparecida,1636241
da Silva Pereira,2313363
Pompeu,4035
de Lourdes Alves,2780391
Rosa dos Santos,1081053
Schultz,461
do Amparo,637648
Carreiro,1194
do Monte,664560
Umbelino,725
Negrao,2261
Barreira,3285
